budget_normalized,urgency_score,engagement_score,property_match_score,response_time_score,communication_quality_score,location_preference_match,lead_score_target,tier
0.4619,45.3614,24.1508,81.997,15.2576,76.9393,0.8852,44.87,COLD
0.1613,54.6813,34.8626,52.6638,7.3003,18.3465,0.4199,32.89,COLD
0.501,91.9087,72.9241,42.4498,61.4622,52.8015,0.3712,70.94,WARM
0.1523,87.4823,6.6354,66.2163,50.0276,32.0524,0.7543,46.02,COLD
0.6963,91.6058,11.6481,54.1511,23.8037,63.7334,0.6303,60.21,WARM
0.4462,85.0262,61.6262,13.1514,29.277,21.274,0.3441,40.8,COLD
0.381,96.4581,60.6972,22.2623,39.2087,79.541,0.3979,50.27,WARM
0.3015,46.55,97.2462,22.2522,49.5521,57.3584,0.4084,51.41,WARM
0.6303,4.7473,37.4549,59.9953,39.0259,95.7273,0.1263,50.53,WARM
0.3618,8.3562,6.5078,46.1624,38.7292,71.177,0.2296,27.34,COLD
0.0876,39.0276,53.7537,38.7585,11.5733,60.7396,0.5375,30.3,COLD
0.118,25.7687,63.8347,55.6639,86.559,82.9159,0.7818,53.14,WARM
0.9619,16.9941,13.9603,97.0116,60.9154,21.9683,0.419,56.51,WARM
0.9086,95.3204,55.2862,31.4193,14.6102,63.2742,0.3834,70.63,WARM
0.6997,19.542,19.7767,52.0195,42.3874,39.0404,0.6505,39.09,COLD
0.2659,95.9379,84.473,48.037,41.6716,74.3791,0.1573,58.94,WARM
0.9692,76.0839,83.5161,71.6643,60.0621,2.4469,0.3808,77.89,HOT
0.7788,64.0946,42.9629,73.029,60.887,42.7712,0.2081,60.89,WARM
0.7169,67.6019,96.6743,72.9071,64.5222,65.1702,0.6516,71.63,WARM
0.4494,33.1474,97.9774,20.152,69.7903,46.0639,0.1124,47.5,COLD
0.2722,64.6427,12.9251,44.9093,10.3354,23.7972,0.4478,29.91,COLD
0.0964,18.6692,36.7714,81.1175,30.4922,46.4349,0.5962,37.73,COLD
0.9026,93.7705,60.0321,38.153,1.7348,84.9745,0.8337,60.17,WARM
0.4558,30.1793,8.4838,98.4255,45.4642,20.6839,0.7246,43.65,COLD
0.2024,25.5187,38.2656,36.4787,42.943,36.7172,0.9429,27.71,COLD
0.306,71.1163,26.1172,49.7667,73.4327,99.0336,0.6799,50.76,WARM
0.5792,65.6449,95.205,47.4526,16.7117,91.2817,0.3492,63.84,WARM
0.1768,45.1299,41.1586,43.3664,63.1494,3.3968,0.2317,33.73,COLD
0.8566,63.2446,76.2671,84.5631,30.6694,53.0332,0.0566,68.94,WARM
0.7585,15.9493,38.6705,15.5275,38.1916,6.5413,0.2776,34.47,COLD
0.7195,67.3328,13.1812,56.7665,71.9287,92.3905,0.1368,56.18,WARM
0.4321,27.0611,86.3152,61.8602,7.1548,44.1545,0.3692,54.49,WARM
0.6273,27.2836,0.0417,85.1221,34.2783,41.8437,0.7026,41.65,COLD
0.5841,16.218,5.5941,60.92,39.1323,27.2946,0.692,34.12,COLD
0.6498,33.2377,36.4384,96.002,71.5749,56.8819,0.3182,54.2,WARM
0.0844,33.1251,68.6898,87.2168,19.9224,14.4999,0.5086,36.96,COLD
0.4158,45.4179,34.1704,34.874,94.7413,79.8955,0.2168,45.8,COLD
0.0416,19.042,6.6313,85.9906,99.7762,49.121,0.503,37.79,COLD
0.494,19.3008,31.784,95.8478,81.891,56.6463,0.5101,47.03,COLD
0.3299,54.1739,24.4981,25.7197,29.9713,84.0805,0.3013,28.01,COLD
0.1445,12.8877,0.542,61.0209,66.3867,18.5149,0.2595,24.23,COLD
0.1034,68.8897,53.4802,28.1804,8.3148,17.5183,0.9796,32.47,COLD
0.5876,94.3947,11.6646,64.9567,87.1279,42.0802,0.5371,55.64,WARM
0.1706,42.6796,28.7496,9.3643,51.5993,78.6128,0.5621,37.53,COLD
0.9251,90.1105,64.119,73.4188,17.6439,5.8546,0.0078,53.67,WARM
0.5811,9.8317,72.5116,41.982,32.7417,79.517,0.1818,56.4,WARM
0.3469,4.2958,26.3456,58.7307,80.0743,50.0757,0.3566,41.9,COLD
0.5909,72.1369,32.9194,2.5862,87.0227,56.1763,0.966,47.35,COLD
0.0228,76.1022,24.6909,69.5441,51.9713,56.4386,0.1752,39.75,COLD
0.9586,84.3058,95.6889,49.5991,48.0312,5.6167,0.3033,75.29,HOT
0.4823,5.6818,19.052,62.5251,75.0735,24.9771,0.9902,39.04,COLD
0.7827,77.6907,18.3181,31.5668,82.619,75.5297,0.4811,56.15,WARM
0.0827,37.6539,44.5035,14.582,76.4847,41.2268,0.3184,24.37,COLD
0.4867,30.3338,18.9306,43.5429,38.4428,56.0517,0.6344,48.57,COLD
0.4907,17.3024,15.6708,94.3979,64.1926,94.4869,0.4963,53.67,WARM
0.9378,99.6016,9.588,22.7794,85.736,4.6272,0.9574,58.52,WARM
0.5717,6.3664,64.0171,67.5839,15.1761,44.968,0.0832,45.4,COLD
0.4735,82.7008,61.2082,4.9844,38.8137,36.1274,0.7905,51.97,WARM
0.267,63.9494,65.0163,71.81,5.6619,10.6449,0.2791,48.58,COLD
0.3316,73.508,77.33,23.8437,40.8877,95.0794,0.8067,45.2,COLD
0.5207,71.1717,32.6358,45.1517,77.2282,96.146,0.8477,56.13,WARM
0.4389,85.8434,91.8424,36.7753,19.7028,31.1488,0.8492,54.84,WARM
0.0216,18.3792,73.3205,11.284,54.1887,94.6717,0.8667,34.65,COLD
0.8263,0.0825,80.4709,34.5582,3.6586,3.5174,0.7181,46.52,COLD
0.8962,59.8528,72.0962,35.0125,89.765,98.0896,0.1424,63.88,WARM
0.1402,35.3859,35.8456,52.2106,82.0005,83.5932,0.0519,35.4,COLD
0.554,12.3787,28.3032,97.2352,52.4409,21.433,0.3408,40.55,COLD
0.1086,18.6139,42.2517,47.0018,70.5787,59.9547,0.4951,35.76,COLD
0.6722,33.1749,9.703,91.4426,10.3916,79.8299,0.3026,52.28,WARM
0.2812,7.0233,45.1281,46.1558,84.5209,31.9299,0.7422,44.19,COLD
0.6594,5.6913,4.3141,10.7543,71.5262,35.3752,0.7224,29.36,COLD
0.727,91.6026,0.3946,23.0153,11.9967,62.8973,0.9719,51.67,WARM
0.7686,31.2103,93.1499,40.7518,98.0689,14.7094,0.4006,65.03,WARM
0.1077,98.2231,68.9337,32.5369,2.253,11.8211,0.7857,45.12,COLD
0.916,96.4367,56.1847,86.5829,62.8511,24.9805,0.7412,75.07,HOT
0.2302,14.2571,34.1102,67.8646,17.1755,74.126,0.9887,32.74,COLD
0.0374,71.4924,57.0538,57.8308,71.9258,36.6599,0.7736,40.85,COLD
0.5549,60.0805,89.1576,49.123,7.0406,50.7358,0.2836,51.21,WARM
0.3709,69.0647,65.238,39.7271,8.1101,19.5451,0.0153,46.59,COLD
0.8298,9.6191,60.2482,61.2192,46.6292,19.4106,0.9682,50.23,WARM
0.8083,18.856,46.0205,12.4607,99.4009,65.0451,0.7161,49.42,COLD
0.3171,7.6639,34.5697,16.2533,27.6516,10.8375,0.8126,25.99,COLD
0.9529,60.4134,69.8547,30.3116,61.2528,66.7841,0.7932,66.22,WARM
0.2909,98.6591,98.0981,17.1185,51.8599,40.0702,0.7358,53.82,WARM
0.5151,67.1985,42.4758,67.7099,84.212,67.1271,0.7515,58.77,WARM
0.256,71.0762,39.2205,2.4768,28.859,38.1729,0.9295,39.64,COLD
0.936,98.4585,42.8113,16.0177,55.4944,84.6052,0.9141,62.95,WARM
0.1646,67.8012,42.5544,90.2608,95.0624,5.5556,0.3792,50.83,WARM
0.0449,4.0182,99.0625,99.7543,33.2586,89.3297,0.031,48.68,COLD
0.4351,86.7006,70.6778,48.759,43.9406,26.8661,0.0387,52.94,WARM
0.9924,36.4678,35.9184,49.537,88.8813,4.2542,0.4466,54.56,WARM
0.8917,0.4364,37.1502,77.3399,33.2499,56.2404,0.835,42.5,COLD
0.7486,50.7234,43.0797,3.619,38.0674,22.4354,0.8476,44.62,COLD
0.8908,93.7015,3.6712,42.7021,30.4119,45.9203,0.4044,48.96,COLD
0.8934,25.7331,52.7816,9.9828,80.9531,80.2314,0.3016,61.02,WARM
0.5189,49.1513,81.1381,40.0926,93.0387,79.1547,0.5066,61.8,WARM
0.3159,17.3777,66.0568,98.3822,63.1099,60.0386,0.8325,48.8,COLD
0.772,5.7693,19.8421,75.3633,62.363,97.7872,0.6365,57.54,WARM
0.6617,8.0545,72.8034,98.5046,39.0004,46.3751,0.1398,50.87,WARM
0.3737,72.7011,71.9459,74.6049,1.2484,3.9388,0.3622,46.24,COLD
0.0945,86.4074,26.2539,60.811,17.3938,81.9425,0.5554,34.8,COLD
0.7468,14.3299,62.2875,75.4221,14.7438,22.1294,0.5383,55.54,WARM
0.2625,28.8319,61.0949,65.9092,11.5882,17.6239,0.8306,46.72,COLD
0.9368,19.5029,83.9788,46.4066,65.4047,7.001,0.9322,49.95,COLD
0.241,2.6856,13.6072,29.2546,13.6349,32.79,0.1005,14.23,COLD
0.1228,55.3431,19.4839,52.0178,8.5634,32.6159,0.2244,30.3,COLD
0.8311,69.9922,48.597,25.8493,38.2582,30.2772,0.3922,52.65,WARM
0.1533,64.7877,4.4145,48.6676,24.9023,59.3193,0.2964,33.24,COLD
0.1793,38.8054,41.5594,14.6135,14.5861,75.1542,0.4083,31.13,COLD
0.5994,55.501,78.8219,56.5395,14.6128,93.7767,0.0407,63.21,WARM
0.8746,9.4099,14.8714,24.5284,25.6206,9.405,0.066,29.1,COLD
0.1964,15.4304,45.9949,29.3608,53.685,15.0382,0.8384,29.44,COLD
0.3103,93.1795,98.9769,49.9028,75.8096,58.9843,0.1026,61.57,WARM
0.7774,76.1508,50.592,16.2526,85.2777,9.8136,0.8241,54.67,WARM
0.9718,92.2739,49.8324,96.238,75.1418,37.0764,0.3065,69.69,WARM
0.5007,91.668,55.8794,44.6944,62.8213,62.4552,0.3092,59.24,WARM
0.1439,64.9393,18.6004,35.2279,90.7625,78.0545,0.1007,39.61,COLD
0.0139,92.8239,14.7164,2.9197,51.9737,21.7599,0.0133,34.39,COLD
0.2297,41.6704,67.7355,84.3254,63.3357,66.7986,0.3553,52.99,WARM
0.1318,0.3616,39.5767,62.5834,41.1621,64.587,0.8354,31.86,COLD
0.6777,6.2571,28.9907,41.6405,32.7384,85.9616,0.92,41.99,COLD
0.1218,10.9487,3.1392,24.5533,33.1712,31.3747,0.0616,5.36,COLD
0.5063,9.5353,84.605,74.5137,14.8317,75.0092,0.0309,41.66,COLD
0.6943,35.1702,3.2329,94.5475,79.6598,75.2,0.1588,53.11,WARM
0.5811,70.1271,74.9983,38.081,5.5368,23.9195,0.7663,53.6,WARM
0.1998,79.0649,38.1989,13.4876,67.4685,62.1158,0.2049,42.25,COLD
0.8041,59.0213,59.8688,10.9195,86.446,67.5162,0.2308,56.59,WARM
0.7154,14.6436,24.7678,0.6362,49.7428,27.4428,0.8889,32.38,COLD
0.739,74.7902,15.54,74.3955,7.0201,45.18,0.8749,51.28,WARM
0.1311,35.4802,53.3388,98.1395,42.8417,43.5778,0.6703,48.3,COLD
0.1238,1.2993,69.5618,99.2818,34.3227,77.351,0.164,46.94,COLD
0.9276,28.0589,19.5493,78.4197,98.5539,0.0691,0.3811,51.57,WARM
0.3976,33.0601,43.6359,16.2184,69.1265,50.1027,0.2362,39.38,COLD
0.3009,27.4246,44.4655,97.7709,72.136,18.4341,0.6718,47.01,COLD
0.4886,81.187,21.5979,32.7813,51.5827,64.6842,0.7799,51.44,WARM
0.6629,75.9926,56.5049,33.362,70.9414,68.0369,0.1421,70.24,WARM
0.9556,69.5552,14.5936,68.7337,72.2571,50.1127,0.898,63.13,WARM
0.2864,13.9005,50.9749,4.9049,6.6359,54.203,0.4628,32.8,COLD
0.9248,80.7834,11.3432,82.577,22.2607,31.5058,0.795,53.51,WARM
0.0249,67.7176,48.5542,99.7297,1.2968,31.3323,0.0516,38.91,COLD
0.5552,19.4838,31.1599,77.507,50.9807,74.5117,0.3606,37.5,COLD
0.634,64.8094,45.2246,78.1676,87.58,13.1731,0.0148,60.41,WARM
0.1059,48.3512,43.3749,39.0314,60.9555,77.1503,0.7185,43.9,COLD
0.1403,43.935,90.7933,6.5921,50.0208,65.5013,0.0795,30.22,COLD
0.4191,11.2123,48.9936,79.2667,92.5966,88.4475,0.3383,53.45,WARM
0.9662,51.8304,81.8499,59.7158,17.2219,26.0145,0.7817,67.19,WARM
0.596,9.9932,22.5652,90.9339,7.4604,50.6179,0.749,43.6,COLD
0.933,16.4253,35.2083,11.5963,91.7306,3.899,0.6403,38.98,COLD
0.8044,13.2546,7.5089,30.5123,90.2782,91.2507,0.694,50.86,WARM
0.4674,95.4108,42.0748,36.0656,68.2972,67.5391,0.6512,58.22,WARM
0.7848,28.4865,66.87,68.328,24.5979,62.2875,0.6413,60.58,WARM
0.0178,35.5204,83.8167,78.7745,96.9764,73.2689,0.3497,52.52,WARM
0.1091,32.2081,56.5915,96.102,76.5346,28.4329,0.0282,47.31,COLD
0.8294,89.825,64.0073,29.5407,67.3895,60.386,0.4418,74.26,WARM
0.7968,56.2966,17.7267,49.3636,22.2911,80.0922,0.0455,51.35,WARM
0.2326,91.916,3.7206,2.8961,51.3089,9.0294,0.4689,32.83,COLD
0.5308,29.9925,79.1688,25.2988,82.2576,95.8817,0.4641,62.96,WARM
0.606,11.4835,16.7038,37.4004,86.026,89.1887,0.1787,43.25,COLD
0.8677,55.6218,9.117,59.3806,56.143,96.3019,0.7843,53.17,WARM
0.6031,34.5537,93.7562,47.0845,52.2794,80.8349,0.7042,64.49,WARM
0.4126,80.1907,96.3521,36.4475,69.7684,29.4311,0.5595,68.18,WARM
0.3742,87.9423,61.6257,62.4078,52.8249,58.1555,0.9259,66.17,WARM
0.4259,47.2574,37.8637,82.8616,41.7681,12.0162,0.2872,49.05,COLD
0.6519,97.1359,83.324,24.1681,8.5419,75.4167,0.262,52.69,WARM
0.8675,55.3013,20.472,34.2876,12.605,15.364,0.1834,41.6,COLD
0.4539,27.092,42.9392,70.4924,76.0275,86.6824,0.5444,49.28,COLD
0.2478,48.8976,35.7017,77.7941,2.4664,24.0557,0.2054,37.66,COLD
0.2367,3.731,91.27,82.5397,5.2305,16.0412,0.8689,47.87,COLD
0.746,80.4001,91.9777,20.9331,90.4644,7.0904,0.3043,60.62,WARM
0.8166,10.1435,65.0886,53.9267,70.3997,71.1365,0.4909,68.91,WARM
0.1053,30.8748,11.074,90.0011,0.4213,18.6204,0.5295,24.51,COLD
0.0666,56.5317,48.2193,39.195,31.2043,19.7668,0.3076,29.76,COLD
0.5944,4.2975,24.5328,42.9883,76.3318,16.9697,0.7384,40.63,COLD
0.1462,7.9317,88.4916,98.4823,41.7601,30.5795,0.6921,49.57,COLD
0.8247,69.6116,13.8403,11.3053,46.8798,94.1211,0.7608,56.35,WARM
0.3103,7.1777,5.431,70.5602,45.8799,48.6622,0.6059,26.47,COLD
0.1439,47.7083,70.4429,85.0184,20.2134,26.0878,0.4602,47.12,COLD
0.921,33.8696,45.3286,15.0794,72.1391,17.0391,0.4489,44.88,COLD
0.1655,22.8079,83.8365,71.4453,10.3006,1.8901,0.7165,33.42,COLD
0.2847,18.8779,7.463,46.9738,50.7251,36.4993,0.377,27.68,COLD
0.1536,76.3411,80.1076,85.2891,16.9956,11.0061,0.4373,46.62,COLD
0.1155,95.1542,3.7335,90.7452,4.6533,2.7012,0.1637,42.28,COLD
0.0211,14.018,2.807,87.2485,14.3244,10.298,0.6796,16.55,COLD
0.0554,95.9681,46.1316,6.4385,86.9335,31.8522,0.0769,41.55,COLD
0.1746,59.4763,22.1291,75.6855,17.6148,75.0864,0.9905,36.91,COLD
0.0534,64.166,59.3719,92.1528,27.8369,6.6986,0.1437,48.51,COLD
0.5911,70.9926,2.5817,62.1348,13.8095,67.8674,0.383,43.65,COLD
0.6807,70.4119,3.539,60.0876,73.5545,62.0543,0.2378,60.09,WARM
0.3936,81.9811,72.7148,4.5005,44.5449,88.199,0.2907,60.07,WARM
0.318,48.3469,21.0165,85.6033,94.3635,18.3987,0.3225,43.71,COLD
0.5045,53.3359,65.6417,4.6404,66.4325,79.4268,0.7183,51.84,WARM
0.875,32.3827,74.9922,31.351,53.1389,86.4865,0.1767,59.65,WARM
0.8511,10.5258,5.9331,92.5863,65.6631,97.6484,0.2639,57.52,WARM
0.0435,66.464,76.9754,94.9745,4.0425,80.8549,0.1012,51.54,WARM
0.1815,3.361,26.8421,99.1901,95.066,12.3768,0.3315,34.11,COLD
0.2367,27.5635,38.9546,47.6402,95.643,94.7129,0.9412,45.63,COLD
0.2494,9.423,8.6639,17.743,27.614,81.4992,0.3801,15.51,COLD
0.5712,19.0727,83.863,48.7944,62.8295,21.2325,0.7773,50.21,WARM
0.4163,63.8731,56.0729,10.2313,20.1915,16.5197,0.4617,42.85,COLD
0.0493,62.8477,50.4665,87.2536,54.7472,93.6414,0.4496,52.51,WARM
0.3736,42.1055,96.8555,56.0537,77.0789,15.5699,0.824,59.56,WARM
0.5238,9.0172,33.4506,40.4506,93.9822,77.7103,0.0268,42.94,COLD
0.1017,43.3374,89.0779,7.9531,33.9217,40.5259,0.8649,35.37,COLD
0.8335,35.2745,71.9688,40.5241,69.3505,72.3805,0.4852,56.95,WARM
0.052,72.0459,92.8528,86.6192,71.6427,9.1851,0.3511,53.33,WARM
0.9248,57.9027,90.7802,70.3406,22.1149,72.5058,0.9068,82.7,HOT
0.0991,49.1566,99.103,8.2456,62.9032,51.1911,0.3399,46.15,COLD
0.8436,48.6982,13.1677,15.9907,65.5421,90.0378,0.9777,48.49,COLD
0.9027,96.6297,79.6016,39.2308,76.4076,18.8398,0.9364,68.19,WARM
0.9796,75.6294,80.4494,10.1375,99.9947,10.9356,0.2679,60.33,WARM
0.802,49.698,64.4374,93.4041,4.0232,19.622,0.3406,55.1,WARM
0.7795,47.9223,27.8861,65.2292,20.2305,7.8575,0.8122,51.04,WARM
0.6425,2.6479,96.5148,9.4823,14.5078,98.0151,0.1956,46.43,COLD
0.779,94.2509,20.4422,78.8057,15.4434,12.2857,0.732,52.22,WARM
0.1346,31.9174,49.9575,36.8406,45.4249,20.0851,0.1292,27.57,COLD
0.5361,25.5939,52.1487,24.4871,87.8537,80.9686,0.2056,52.75,WARM
0.5142,99.9409,16.1829,56.9985,44.8723,24.6754,0.5005,51.18,WARM
0.8576,71.869,72.2529,1.3372,66.848,22.2293,0.7459,56.24,WARM
0.4628,4.7364,8.8867,46.5398,37.6499,67.231,0.7394,30.22,COLD
0.3851,6.1885,69.3098,84.3805,31.9663,39.8765,0.6089,55.6,WARM
0.6396,2.5502,84.8615,92.8058,83.4235,83.5479,0.2721,70.19,WARM
0.2665,59.9619,34.9396,34.2555,65.5548,63.8269,0.4154,51.06,WARM
0.1398,7.1565,70.9421,64.2437,35.0895,28.8215,0.2462,26.38,COLD
0.4779,93.3388,15.6774,22.6823,91.416,59.7923,0.277,51.52,WARM
0.4169,93.6907,84.5949,56.0213,49.8512,86.6462,0.3232,64.91,WARM
0.2326,54.6054,95.2032,25.4028,18.8275,36.4483,0.5988,47.83,COLD
0.3675,61.6639,15.2694,57.1357,48.3222,73.6471,0.2076,50.64,WARM
0.3664,29.1894,69.1859,17.1722,67.4699,41.5833,0.0426,43.95,COLD
0.3275,6.3973,50.5831,94.1233,36.7113,54.3073,0.6925,38.44,COLD
0.3795,73.746,53.1499,88.6917,84.3785,73.37,0.0218,60.64,WARM
0.6857,10.1786,70.649,33.6918,53.3144,6.0527,0.9708,47.4,COLD
0.2969,8.5558,48.874,77.6663,46.7765,45.495,0.3503,43.39,COLD
0.9489,31.1223,60.0326,9.5504,85.8711,9.5214,0.0066,53.63,WARM
0.9163,1.2466,23.0901,74.0361,46.2918,72.5006,0.8846,51.41,WARM
0.4809,43.4036,37.8507,28.2459,41.441,60.7806,0.5998,42.98,COLD
0.3284,70.7681,86.524,13.5642,10.3716,32.693,0.8174,47.35,COLD
0.5354,80.1349,10.9903,67.8191,36.2492,7.6282,0.435,49.75,COLD
0.8486,60.4307,59.7575,46.9807,39.7048,92.5802,0.3542,68.68,WARM
0.6526,84.6874,18.4287,53.014,18.0622,31.5004,0.6552,49.96,COLD
0.8044,40.6502,84.654,52.053,58.7823,27.5377,0.406,61.37,WARM
0.5327,84.8772,57.9044,5.9448,14.3842,10.1005,0.5562,44.78,COLD
